Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,P_avg,Ot_avg,Ot_min,Ot_max,Ot_std
7.25,5.1799998,10.39,1.01,163.16,127.8,196.28999,10.53,679.69,5.7199998,5.5999999,5.9000001,0.059999999
7.6399999,5.46,12.12,1.04,286.19,236.71001,317.75,10.46,801.22998,5.4400001,5.3000002,5.8000002,0.12
8.96,6.48,11.26,0.81,165.25,126.95,186.97,7.3099999,1072.65,5.0900002,5.0,5.1999998,0.090000004
8.5600004,6.4400001,10.41,0.79000002,175.05,150.94,215.13,8.2299995,1091.8199,5.48,5.3000002,5.75,0.090000004
8.8900003,5.7800002,11.65,1.01,168.28999,137.85001,189.89,7.5599999,1061.4301,5.2600002,5.0,5.5,0.11
8.9099998,6.5,11.18,0.94,178.0,146.44,210.35001,8.21,1113.45,5.6900001,5.5,5.8000002,0.12
7.77,5.6100001,10.58,0.97000003,162.42,125.18,209.23,10.51,867.40997,5.9400001,5.8000002,6.0999999,0.050000001
8.3100004,5.6599998,11.83,1.03,288.32999,264.67999,328.89001,9.5200005,943.16998,5.7399998,5.4000001,6.0999999,0.15000001
9.1899996,6.0999999,11.33,1.01,170.08,142.41,190.42,7.4899998,1144.79,5.5599999,5.4000001,5.8000002,0.07
8.0100002,5.1199999,10.95,0.95999998,165.98,138.5,197.53,9.0600004,948.92999,6.1700001,6.0,6.4000001,0.11
9.0799999,6.3099999,12.4,1.02,179.69,152.45,218.21001,8.8999996,1147.54,6.0,5.8000002,6.1999998,0.1
8.4700003,5.8899999,11.75,1.0,293.04001,265.01001,320.48001,8.71,998.48999,6.0900002,5.8000002,6.4000001,0.14
9.29,5.5599999,12.69,1.04,181.39999,144.63,209.28999,8.6400003,1181.0601,6.1300001,6.0,6.3000002,0.07
8.6099997,5.7600002,11.62,1.05,168.03,140.13,203.39999,8.7600002,1099.0601,6.4299998,6.3000002,6.5,0.090000004
8.9200001,6.0500002,12.15,1.13,175.33,145.50999,199.00999,9.3599997,1183.98,5.6999998,5.5999999,5.8000002,0.090000004
8.0600004,4.96,11.7,1.17,294.01999,225.05,324.0,10.63,837.96002,6.3499999,6.1999998,6.4499998,0.079999998
9.4799995,6.1399999,12.48,1.1,173.07001,136.28,196.61,9.6099997,1317.55,5.8200002,5.8000002,5.9000001,0.039999999
8.0299997,5.0300002,11.33,1.21,299.22,266.67999,331.73999,11.75,871.57001,6.5100002,6.4000001,6.6999998,0.050000001
9.0600004,5.75,11.85,1.08,185.14,146.02,206.06,8.5500002,1082.5601,6.23,6.0999999,6.3000002,0.090000004
8.5500002,5.2600002,10.97,1.02,171.48,124.44,211.69,9.4300003,1003.62,6.5300002,6.5,6.5999999,0.039999999
9.0500002,5.9899998,12.24,0.98000002,185.48,147.94,209.3,8.6899996,1073.04,6.2600002,6.0999999,6.3000002,0.079999998
9.4099998,6.4899998,13.17,1.05,172.39,134.52,202.3,9.7399998,1282.11,5.8000002,5.6999998,5.9000001,0.02
8.0200005,4.9200001,11.16,1.02,171.33,137.21001,214.06,9.6099997,898.06,6.5500002,6.5,6.5999999,0.039999999
7.7800002,4.4099998,12.13,1.29,294.82001,251.09,12.68,11.57,840.88,6.5799999,6.5,6.6999998,0.090000004
9.1000004,6.77,12.11,1.0,185.74001,154.0,211.77,7.9499998,1112.14,6.3200002,6.0999999,6.4000001,0.050000001
9.4799995,6.5700002,12.53,1.1,174.13,129.69,206.74001,9.2200003,1303.77,5.8000002,5.6999998,5.8499999,0.0099999998
8.2299995,5.5599999,10.54,0.86000001,172.28,138.27,200.33,9.0699997,934.91998,6.5900002,6.5,6.5999999,0.02
8.0600004,5.3800001,12.02,1.11,297.51001,263.48999,329.01999,11.38,849.51001,6.5300002,6.5,6.6999998,0.059999999
7.9899998,5.7399998,11.14,1.0700001,298.57999,257.76001,338.34,10.78,834.44,6.5500002,6.5,6.6999998,0.079999998
7.9899998,5.46,11.01,1.08,172.38,134.14,196.74001,9.4499998,846.53003,6.5500002,6.5,6.5999999,0.039999999
8.46,5.7600002,11.2,0.98000002,185.08,150.11,209.82001,8.2299995,948.64001,6.3299999,6.3000002,6.4000001,0.039999999
9.2399998,5.9000001,12.24,1.1,173.53,138.67,200.53999,9.1700001,1276.15,5.77,5.5999999,5.8000002,0.059999999
7.21,4.5900002,11.11,1.1799999,296.01999,237.3,341.12,12.08,650.26001,6.5300002,6.4000001,6.6999998,0.059999999
8.6199999,5.8600001,12.36,1.0700001,185.99001,154.25999,207.03,8.2799997,991.13,6.3600001,6.3000002,6.4000001,0.039999999
7.8400002,5.1199999,10.3,0.91000003,171.3,129.5,206.05,9.6000004,796.91998,6.5100002,6.5,6.5999999,0.029999999
9.1899996,6.7800002,11.61,0.8899999900000001,172.52,141.3,202.62,9.2799997,1286.34,5.79,5.5999999,5.8000002,0.02
8.3699999,5.6700001,10.89,0.97000003,182.75999,155.07001,218.49001,8.8400002,916.08002,6.27,6.0999999,6.4000001,0.07
7.77,5.46,10.02,0.79000002,169.11,138.91,210.50999,8.9899998,798.10999,6.4299998,6.3000002,6.5,0.079999998
8.46,5.5500002,11.02,1.0,170.12,121.2,226.58,10.31,1081.1,5.79,5.5999999,5.8000002,0.039999999
7.0500002,4.6900001,9.6099997,0.8899999900000001,294.09,259.72,327.13,11.57,614.95001,6.4400001,6.4000001,6.5,0.039999999
8.2799997,6.1100001,11.77,1.0700001,183.46001,150.21001,209.66,8.4799995,858.45001,6.0999999,6.0999999,6.3000002,0.02
7.29,5.0500002,10.12,0.95999998,292.91,254.97,336.92001,11.76,693.79999,6.4000001,6.1999998,6.5,0.029999999
7.5300002,4.79,10.15,0.92000002,169.39,137.72,201.72,9.3500004,746.21997,6.3899999,6.3000002,6.5,0.090000004
8.4899998,5.4299998,11.37,1.05,171.89999,132.0,199.91,10.7,1062.01,5.79,5.5999999,5.8000002,0.029999999
7.75,5.4499998,11.44,1.08,297.19,263.26001,323.56,10.49,786.46002,6.4200001,6.4000001,6.5,0.039999999
8.5900002,6.0900002,11.43,1.01,183.86,157.95,205.71001,8.4499998,964.90002,6.0999999,6.0500002,6.3000002,0.0099999998
8.8999996,5.5500002,11.57,1.03,170.88,141.14,207.72,9.6899996,1194.16,5.8000002,5.5999999,5.8499999,0.02
7.8699999,5.2800002,10.7,0.92000002,170.85001,140.81,193.08,8.8699999,839.96997,6.48,6.3000002,6.5,0.050000001
8.6000004,4.8200002,12.11,1.1799999,298.78,268.32999,324.87,8.5799999,1034.47,6.4699998,6.4000001,6.5,0.039999999
9.0600004,6.3400002,11.53,0.97000003,173.81,132.45,198.53,9.2600002,1199.26,5.71,5.5999999,5.8000002,0.079999998
8.4700003,5.8699999,12.43,1.08,188.44,99.839996,230.95,10.4,1063.8199,6.1100001,6.0500002,6.3000002,0.039999999
7.8499999,5.46,10.1,0.94,175.00999,145.5,203.08,10.23,859.34003,6.48,6.3000002,6.5500002,0.039999999
9.4300003,6.5500002,12.33,1.0700001,178.39999,151.09,205.13,8.0500002,1223.95,5.7399998,5.5999999,5.9000001,0.090000004
8.3400002,4.6500001,11.34,1.01,186.99001,137.48,223.37,10.79,993.34998,6.2800002,6.0999999,6.4000001,0.07
